date,hour,count
2-Apr-2015,9,2434
3-Apr-2015,14,2607
4-Apr-2015,5,1553
5-Apr-2015,5,1370
6-Apr-2015,7,1359
7-Apr-2015,15,2757
8-Apr-2015,6,1881
9-Apr-2015,9,2024
10-Apr-2015,6,1811
11-Apr-2015,7,2034
12-Apr-2015,10,1784
13-Apr-2015,12,1977
14-Apr-2015,15,2967
15-Apr-2015,12,2631
16-Apr-2015,15,2980
17-Apr-2015,15,2877
18-Apr-2015,12,2891
19-Apr-2015,13,2494
20-Apr-2015,10,2005
21-Apr-2015,7,1964
22-Apr-2015,16,2880
23-Apr-2015,13,2823
24-Apr-2015,10,2395
25-Apr-2015,12,2417
26-Apr-2015,9,2030
27-Apr-2015,10,2139
28-Apr-2015,17,2942
29-Apr-2015,16,3269
30-Apr-2015,17,3467
1-Aug-2015,16,3229
2-Aug-2015,16,3286
3-Aug-2015,14,2693
4-Aug-2015,17,4597
5-Aug-2015,19,4506
6-Aug-2015,18,4344
7-Aug-2015,18,4457
8-Aug-2015,17,4034
9-Aug-2015,16,3695
10-Aug-2015,14,2792
11-Aug-2015,17,4459
12-Aug-2015,16,3515
13-Aug-2015,19,4713
14-Aug-2015,18,4441
15-Aug-2015,16,3939
16-Aug-2015,17,3686
17-Aug-2015,14,2495
18-Aug-2015,18,4453
19-Aug-2015,18,4489
20-Aug-2015,18,4426
21-Aug-2015,18,4377
22-Aug-2015,18,3734
23-Aug-2015,16,2863
24-Aug-2015,16,2905
25-Aug-2015,17,4631
26-Aug-2015,18,4575
27-Aug-2015,19,4687
28-Aug-2015,19,4601
29-Aug-2015,17,4186
30-Aug-2015,15,2938
31-Aug-2015,14,2844
1-Dec-2015,20,4702
2-Dec-2015,8,2868
3-Dec-2015,10,2924
4-Dec-2015,17,3974
5-Dec-2015,15,3825
6-Dec-2015,13,2501
7-Dec-2015,12,2434
8-Dec-2015,17,3763
9-Dec-2015,19,4169
10-Dec-2015,16,4329
11-Dec-2015,17,4341
12-Dec-2015,16,4109
13-Dec-2015,13,3014
14-Dec-2015,15,3241
15-Dec-2015,15,3831
16-Dec-2015,19,4387
17-Dec-2015,18,4139
18-Dec-2015,14,3908
19-Dec-2015,15,3142
20-Dec-2015,7,1662
21-Dec-2015,7,1603
22-Dec-2015,15,3161
23-Dec-2015,10,2595
24-Dec-2015,11,2328
25-Dec-2015,10,1772
26-Dec-2015,5,1597
27-Dec-2015,5,1365
28-Dec-2015,6,1394
29-Dec-2015,11,1988
30-Dec-2015,5,1719
31-Dec-2015,14,2063
1-Feb-2015,11,2050
2-Feb-2015,12,622
3-Feb-2015,1,160
4-Feb-2015,11,578
5-Feb-2015,12,957
6-Feb-2015,12,992
7-Feb-2015,12,957
8-Feb-2015,12,609
9-Feb-2015,12,586
10-Feb-2015,11,624
11-Feb-2015,1,1251
12-Feb-2015,1,1236
13-Feb-2015,1,1225
14-Feb-2015,12,791
15-Feb-2015,11,481
16-Feb-2015,8,229
17-Feb-2015,11,406
18-Feb-2015,12,673
19-Feb-2015,12,980
