date,hour,count
2-Apr-2015,19,27832
3-Apr-2015,17,27066
4-Apr-2015,18,25603
5-Apr-2015,17,26333
6-Apr-2015,17,22270
7-Apr-2015,16,23731
8-Apr-2015,19,30507
9-Apr-2015,19,28878
10-Apr-2015,17,28775
11-Apr-2015,18,28809
12-Apr-2015,18,28838
13-Apr-2015,17,27325
14-Apr-2015,17,24316
15-Apr-2015,18,26267
16-Apr-2015,18,27372
17-Apr-2015,17,29041
18-Apr-2015,18,29080
19-Apr-2015,18,28857
20-Apr-2015,18,26268
21-Apr-2015,18,25590
22-Apr-2015,19,26679
23-Apr-2015,18,27192
24-Apr-2015,17,29617
25-Apr-2015,18,29477
26-Apr-2015,18,28843
27-Apr-2015,18,26348
28-Apr-2015,17,25336
29-Apr-2015,18,26293
30-Apr-2015,18,28021
1-Aug-2015,17,28970
2-Aug-2015,17,22054
3-Aug-2015,17,20552
4-Aug-2015,17,22457
5-Aug-2015,16,23449
6-Aug-2015,17,24575
7-Aug-2015,17,25027
8-Aug-2015,17,23193
9-Aug-2015,17,21954
10-Aug-2015,16,19775
11-Aug-2015,16,20837
12-Aug-2015,18,22482
13-Aug-2015,16,24113
14-Aug-2015,16,24113
15-Aug-2015,17,22884
16-Aug-2015,17,21053
17-Aug-2015,17,19828
18-Aug-2015,16,21901
19-Aug-2015,17,23542
20-Aug-2015,17,24347
21-Aug-2015,17,24358
22-Aug-2015,17,23164
23-Aug-2015,17,20746
24-Aug-2015,16,19506
25-Aug-2015,16,20557
26-Aug-2015,17,22575
27-Aug-2015,15,23050
28-Aug-2015,16,23749
29-Aug-2015,17,22836
30-Aug-2015,17,20648
31-Aug-2015,16,19563
1-Dec-2015,17,21213
2-Dec-2015,18,23414
3-Dec-2015,18,23397
4-Dec-2015,17,26219
5-Dec-2015,18,26466
6-Dec-2015,18,25407
7-Dec-2015,17,25182
8-Dec-2015,18,24177
9-Dec-2015,18,25653
10-Dec-2015,18,25707
11-Dec-2015,17,26063
12-Dec-2015,18,25852
13-Dec-2015,18,23867
14-Dec-2015,17,22434
15-Dec-2015,18,27918
16-Dec-2015,18,26125
17-Dec-2015,17,26996
18-Dec-2015,17,26722
19-Dec-2015,18,27117
20-Dec-2015,18,25994
21-Dec-2015,17,24702
22-Dec-2015,15,22127
23-Dec-2015,15,21582
24-Dec-2015,16,20426
25-Dec-2015,14,19162
26-Dec-2015,7,11067
27-Dec-2015,12,16082
28-Dec-2015,14,16193
29-Dec-2015,14,21692
30-Dec-2015,14,20220
31-Dec-2015,15,21128
1-Feb-2015,15,23324
2-Feb-2015,17,27955
3-Feb-2015,17,21558
4-Feb-2015,18,26778
5-Feb-2015,19,26441
6-Feb-2015,19,30116
7-Feb-2015,17,30258
8-Feb-2015,18,29226
9-Feb-2015,18,27978
10-Feb-2015,18,26170
11-Feb-2015,18,28303
12-Feb-2015,19,28891
13-Feb-2015,18,29200
14-Feb-2015,18,27755
15-Feb-2015,18,28361
16-Feb-2015,17,25755
17-Feb-2015,15,27093
18-Feb-2015,17,26471
19-Feb-2015,19,28636
20-Feb-2015,18,30764
21-Feb-2015,18,31807
22-Feb-2015,18,26424
23-Feb-2015,17,23525
24-Feb-2015,19,28801
25-Feb-2015,18,28158
26-Feb-2015,19,28255
27-Feb-2015,18,29627
28-Feb-2015,18,30826
1-Jan-2015,18,30170
2-Jan-2015,16,30728
3-Jan-2015,14,22523
4-Jan-2015,17,25068
5-Jan-2015,14,20166
6-Jan-2015,18,25417
7-Jan-2015,18,26128
8-Jan-2015,18,29703
9-Jan-2015,19,29613
10-Jan-2015,18,31651
11-Jan-2015,18,30894
12-Jan-2015,17,27993
13-Jan-2015,18,25674
14-Jan-2015,19,29012
15-Jan-2015,19,28741
16-Jan-2015,19,29099
17-Jan-2015,17,31453
18-Jan-2015,18,28906
19-Jan-2015,17,26583
20-Jan-2015,15,22415
21-Jan-2015,18,27063
22-Jan-2015,18,28170
23-Jan-2015,19,30246
24-Jan-2015,17,30525
25-Jan-2015,18,28480
26-Jan-2015,17,26922
27-Jan-2015,8,22597
28-Jan-2015,7,14633
29-Jan-2015,19,26543
30-Jan-2015,19,27838
31-Jan-2015,17,32241
